Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée
0012-B-1747-1669;;0012;12;1361;Langevin;6;true;true
0011-B-1167-4151;;0011;11;4160;Saules;24;true;true
0001-A-2126-3028;;0001;C1;1085;Laënnec;21;true;true
0012-B-1747-1669;;0012;12;1365;Ormeaux;10;true;true
0011-B-1230-1242;;0011;11;1230;Jardin Moderne;1;true;true
0001-B-3028-1315;;0001;C1;3037;Chantepie Eglise;5;true;true
0012-B-1747-1669;;0012;12;1722;Gares;13;true;true
0011-B-1234-1746;;0011;11;1235;Géniaux;2;true;true
0001-B-3028-1315;;0001;C1;3007;Loges;7;true;true
0012-B-1747-1669;;0012;12;1705;Fossés;16;true;true
0011-B-1234-1746;;0011;11;1238;Guilloux Lorient;5;true;true
0001-B-3028-1315;;0001;C1;1323;CARSAT;9;true;true
0012-B-1747-1669;;0012;12;1183;Hôtel Dieu;19;true;true
0011-B-1234-1746;;0011;11;1242;République;9;true;true
0001-B-3028-1315;;0001;C1;1327;Raison;13;true;true
0012-B-1747-1669;;0012;12;2803;La Plesse;28;true;true
0011-B-1234-1746;;0011;11;1477;Gares;11;true;true
0001-B-3028-1315;;0001;C1;1056;Gares;17;true;true
0012-B-1747-1669;;0012;12;1680;Meynier;35;true;true
0011-B-1234-1746;;0011;11;1243;Croix Saint-Hélier;13;true;true
0001-B-3028-1315;;0001;C1;1315;République;19;true;true
0012-B-1747-1669;;0012;12;1669;Villejean-Université;39;true;true
0011-B-1234-1746;;0011;11;1246;Cimetière de l'Est;16;true;true
0001-B-3028-2126;;0001;C1;3028;Rosa Parks;1;true;true
0013-A-3016-2284-1440;;0013;13;3011;Hallouvry;3;true;true
0011-B-1234-1746;;0011;11;1248;Pré Garel;18;true;true
0001-B-3028-2126;;0001;C1;3002;Deux Ruisseaux;4;true;true
0013-A-3016-2284-1440;;0013;13;3019;Val Blanc;9;true;true
0011-B-1234-1746;;0011;11;2036;Bas Village;22;true;true
0001-B-3028-2126;;0001;C1;3007;Loges;7;true;true
0013-A-3016-2284-1440;;0013;13;1440;Le Blosne;12;true;true
0011-B-1234-1746;;0011;11;2034;Forum;23;true;true
0001-B-3028-2126;;0001;C1;1323;CARSAT;9;true;true
0013-A-3016-2284-1440;;0013;13;1443;Binquenais Collège;16;true;true
0011-B-1234-1746;;0011;11;1073;Ronceray;28;true;true
0001-B-3028-2126;;0001;C1;1325;Landry;11;true;true
0013-A-3016-2284-1440;;0013;13;1446;Argonautes;20;true;true
0011-B-3751-1208;;0011;11;3752;Trois Marches;2;true;true
0001-B-3028-2126;;0001;C1;1315;République;19;true;true
0013-A-3016-2284-1440;;0013;13;1447;Henri Fréville;21;true;true
0001-B-3028-2126;;0001;C1;1032;Painlevé;26;true;true
0013-A-3016-2284-1440;;0013;13;1450;Coubertin;25;true;true
0001-B-3028-2126;;0001;C1;1033;Assomption;27;true;true
0013-A-3016-2284-1440;;0013;13;2217;25 Fusillés;28;true;true
0001-B-3028-2126;;0001;C1;1034;Turmel;28;true;true
0013-A-3016-2284-1440;;0013;13;2273;Jean Pont;29;true;true
0001-B-3028-2126;;0001;C1;1038;Bouzat;32;true;true
0013-A-3016-2284-1440;;0013;13;2284;Saint-Jacques - Gaîté;31;true;true
0002-A-2844-1071;;0002;C2;2842;Nobel;2;true;true
0013-A-3016-2314;;0013;13;3023;EDEFS;2;true;true
0002-A-2844-1071;;0002;C2;2804;Ricoquais;3;true;true
0013-A-3016-2314;;0013;13;3006;Chantepie Mairie;6;true;true
0002-A-2844-1071;;0002;C2;2805;Camus;4;true;true
0013-A-3016-2314;;0013;13;1444;Combes;17;true;true
0002-A-2844-1071;;0002;C2;2806;Vivier Louis;5;true;true
0013-A-3016-2314;;0013;13;1449;Norvège;23;true;true
0002-A-2844-1071;;0002;C2;2808;Uttenreuth;6;true;true
0013-A-3016-2314;;0013;13;2273;Jean Pont;28;true;true
0002-A-2844-1071;;0002;C2;2815;La Plesse;11;true;true
0013-A-3016-2314;;0013;13;2278;Saint-Jacques - Gaîté;30;true;true
0002-A-2844-1071;;0002;C2;1049;Horizons;21;true;true
0013-A-3016-2314;;0013;13;2242;Centre Météo;39;true;true
0002-A-2844-1071;;0002;C2;1085;Laënnec;27;true;true
0013-A-3016-2314-1440;;0013;13;3023;EDEFS;2;true;true
0002-A-2844-1071;;0002;C2;1061;Bourgeois;30;true;true
0013-A-3016-2314-1440;;0013;13;3007;Loges;7;true;true
0002-A-2844-1071;;0002;C2;1067;Bourgueil;36;true;true
0013-A-3016-2314-1440;;0013;13;1441;Triangle;15;true;true
0002-A-2844-1071;;0002;C2;1068;Gohier;37;true;true
0013-A-3016-2314-1440;;0013;13;2211;Maltière;32;true;true
0002-B-1071-2844;;0002;C2;1080;Calmette;10;true;true
0013-A-3016-2314-1440;;0013;13;2242;Centre Météo;40;true;true
0002-B-1071-2844;;0002;C2;1702;TNB;16;true;true
0013-A-3016-2314-1440;;0013;13;2288;Jules Vallès;41;true;true
0002-B-1071-2844;;0002;C2;1095;La Touche;22;true;true
0013-B-2284-3016-1467;;0013;13;2274;Jean Pont;3;true;true
0002-B-1071-2844;;0002;C2;1097;Pierre Legrand;24;true;true
0013-B-2284-3016-1467;;0013;13;1130;Canada;9;true;true
0002-B-1071-2844;;0002;C2;1041;Trois Croix;27;true;true
0013-B-2284-3016-1467;;0013;13;1465;Triangle;17;true;true
0002-B-1071-2844;;0002;C2;2814;CHP Saint-Grégoire;31;true;true
0013-B-2284-3016-1467;;0013;13;1466;Hôpital Sud;19;true;true
0002-B-1071-2844;;0002;C2;2818;Haut Trait;32;true;true
0013-B-2314-3016;;0013;13;2314;Porte de Ker Lann;1;true;true
0002-B-1071-2844-2807;;0002;C2;1074;Gohier;4;true;true
0013-B-2314-3016;;0013;13;2236;Parc Expo;2;true;true
0002-B-1071-2844-2807;;0002;C2;1650;La Poterie;7;true;true
0013-B-2314-3016;;0013;13;2202;Collège Jean Moulin;8;true;true
0002-B-1071-2844-2807;;0002;C2;1079;Monsieur Vincent;9;true;true
0013-B-2314-3016;;0013;13;2214;Médiathèque;9;true;true
0002-B-1071-2844-2807;;0002;C2;1081;Bourgeois;11;true;true
0013-B-2314-3016;;0013;13;1457;Norvège;20;true;true
0002-B-1071-2844-2807;;0002;C2;1057;Laënnec;14;true;true
0013-B-2314-3016;;0013;13;1623;Alma;22;true;true
0002-B-1071-2844-2807;;0002;C2;1102;Donelière;28;true;true
0013-B-2314-3016;;0013;13;1462;Combes;26;true;true
0002-B-1071-2844-2807;;0002;C2;2843;Nobel;40;true;true
0013-B-2314-3016;;0013;13;1353;Torigné;30;true;true
0003-A-1252-1509;;0003;C3;1027;Hôtel Dieu;13;true;true
0013-B-2314-3016;;0013;13;1466;Hôpital Sud;31;true;true
0003-A-1252-1509;;0003;C3;1123;Ginguené;20;true;true
0013-B-2314-3016;;0013;13;3022;Hallouvry;40;true;true
0003-A-1252-1509;;0003;C3;1129;Suède;26;true;true
0013-B-2314-3016-1467;;0013;13;2237;Aire Libre;5;true;true
0003-B-1509-1252;;0003;C3;1139;Sacrés Coeurs;8;true;true
0013-B-2314-3016-1467;;0013;13;2206;Maltière;12;true;true
0003-B-1509-1252;;0003;C3;1281;Volney;19;true;true
0013-B-2314-3016-1467;;0013;13;2274;Jean Pont;15;true;true
0003-B-1509-1252;;0003;C3;1283;Rochester;21;true;true
0013-B-2314-3016-1467;;0013;13;1623;Alma;22;true;true
0003-B-1509-1252;;0003;C3;1287;Condate;25;true;true
0013-B-2314-3016-1467;;0013;13;1464;Binquenais;27;true;true
0004-A-1161-1052;;0004;C4;1700;François Château;2;true;true
0013-B-2314-3016-1467;;0013;13;1463;Binquenais Collège;28;true;true
0004-A-1161-1052;;0004;C4;1605;Pont de Strasbourg;3;true;true
0013-B-2314-3016-1467;;0013;13;1465;Triangle;29;true;true
0004-A-1161-1052;;0004;C4;1090;République;8;true;true
0013-B-2314-3016-1467;;0013;13;1466;Hôpital Sud;31;true;true
0004-A-1536-1167;;0004;C4;1163;Robidou;11;true;true
0013-B-2314-3016-1467;;0013;13;1356;Galicie;33;true;true
